list_name,name,label,region
choices_name_primary_cooperative,Wegahita,Wegahita,1
choices_name_primary_cooperative,Hiwet,Hiwet,1
choices_name_primary_cooperative,H/Genet,H/Genet,1
choices_name_primary_cooperative,Rahwa,Rahwa,1
choices_name_primary_cooperative,Kokob Tsibah,Kokob Tsibah,1
choices_name_primary_cooperative,H/Serawe,H/Serawe,1
choices_name_primary_cooperative,Genet,Genet,1
choices_name_primary_cooperative,Negede Birhan,Negede Birhan,1
choices_name_primary_cooperative,Filfil,Filfil,1
choices_name_primary_cooperative,Dalega,Dalega,1
choices_name_primary_cooperative,Enda Meskel,Enda Meskel,1
choices_name_primary_cooperative,Millinium,Millinium,1
choices_name_primary_cooperative,Embezat,Embezat,1
choices_name_primary_cooperative,Fire Tsairi,Fire Tsairi,1
choices_name_primary_cooperative,A/Tankua Milash,A/Tankua Milash,1
choices_name_primary_cooperative,Shishayna,Shishayna,1
choices_name_primary_cooperative,Ambibley,Ambibley,1
choices_name_primary_cooperative,R/Mal,R/Mal,1
choices_name_primary_cooperative,Firekalsi,Firekalsi,1
choices_name_primary_cooperative,Alula,Alula,1
choices_name_primary_cooperative,Mizan,Mizan,1
choices_name_primary_cooperative,Shewit Sigem,Shewit Sigem,1
choices_name_primary_cooperative,Haftom,Haftom,1
choices_name_primary_cooperative,Limat,Limat,1
choices_name_primary_cooperative,Mibale,Mibale,1
choices_name_primary_cooperative,Mariam Kuayzela,Mariam Kuayzela,1
choices_name_primary_cooperative,Matamba,Matamba,1
choices_name_primary_cooperative,Ebet,Ebet,1
choices_name_primary_cooperative,Shewit Mishela,Shewit Mishela,1
choices_name_primary_cooperative,Fire Selam,Fire Selam,1
choices_name_primary_cooperative,Tsilal,Tsilal,1
choices_name_primary_cooperative,Simret,Simret,1
choices_name_primary_cooperative,Mesert Hiwt,Mesert Hiwt,1
choices_name_primary_cooperative,Awet,Awet,1
choices_name_primary_cooperative,May Dairo,May Dairo,1
choices_name_primary_cooperative,Fithawit,Fithawit,1
choices_name_primary_cooperative,Seleliwa,Seleliwa,1
choices_name_primary_cooperative,Selamawit,Selamawit,1
choices_name_primary_cooperative,Buruh Tesfa,Buruh Tesfa,1
choices_name_primary_cooperative,Weyni,Weyni,1
choices_name_primary_cooperative,Guna,Guna,1
choices_name_primary_cooperative,Hadnet,Hadnet,1
choices_name_primary_cooperative,Shewit,Shewit,1
